protocol,n_folds,metric,dataset_size,rmse_mean,rmse_std,property,model,polymer_architecture,source_label,quantity_reported,model_reported,polymer_type_reported,source_reported
legacy_full_dataset_5fold_cv,5,rmse,27802,0.0106,0.0001,density,polymer_chemprop,alternating,MD,Density,PCP,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,0.025,0.0023,density,polymer_chemprop,homopolymer,MD,Density,PCP,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,9331,0.0232,0.001,density,polymer_chemprop,random,MD,Density,PCP,Random copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,0.0106,0.0001,density,polymer_periodic_graph,alternating,MD,Density,PPG,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,0.0245,0.0016,density,polymer_periodic_graph,homopolymer,MD,Density,PPG,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,26509,0.102,0.003,refractive_index,RDKit_RF,alternating,DFT,Refractive Index,RDKit,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,1715,0.023,0.002,refractive_index,RDKit_RF,homopolymer,DFT,Refractive Index,RDKit,Homopolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,26509,0.115,0.002,refractive_index,polyBERT,alternating,DFT,Refractive Index,polyBERT,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,1715,0.073,0.005,refractive_index,polyBERT,homopolymer,DFT,Refractive Index,polyBERT,Homopolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,26509,0.063,0.006,refractive_index,polymer_chemprop,alternating,DFT,Refractive Index,PCP,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,1715,0.0186,0.001,refractive_index,polymer_chemprop,homopolymer,DFT,Refractive Index,PCP,Homopolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,9119,0.07,0.005,refractive_index,polymer_chemprop,random,DFT,Refractive index,PCP,Random copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,26509,0.0555,0.0016,refractive_index,polymer_periodic_graph,alternating,DFT,Refractive Index,PPG,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,1715,0.0154,0.001,refractive_index,polymer_periodic_graph,homopolymer,DFT,Refractive Index,PPG,Homopolymer,DFT
