experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,RDKit_RF,10000,val,101.86828338357063,4.156844365996193,72.89118186323674,1.6256422712482226,10394.426514598566,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,300,test,271.4289186513205,12.371070165695583,207.55420167332932,7.5234735656731475,73826.7012572697,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,300,train,140.1331430710767,3.174636973993754,110.21492667643228,2.53357161307523,19647.376106895495,5,300.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,300,val,271.47301729837596,10.64481199855608,206.15721311720154,6.651002237291942,73810.91114356893,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,1000,test,192.05667237932195,4.781725775059073,146.07797726857578,3.396667520738323,36908.63030680608,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,1000,train,97.64813295726289,2.5976030410708053,74.89235664062501,2.2872283778529763,9541.90541159827,5,1000.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,1000,val,191.62893817243315,4.286201193597248,146.00782775439805,3.1205536690225038,36740.0214657662,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,3000,test,146.72168437233208,1.8530846595411619,112.8471763995054,1.3770019651790115,21530.686587809665,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,3000,train,78.61391359478124,1.3805863327948296,60.438852579752606,0.9741329042861412,6182.053429310031,5,3000.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,3000,val,147.96530104281862,2.120785498448177,113.2703254798505,1.4241039139891798,21898.228043822368,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,10000,test,124.37008960844882,1.6079583600428717,95.14289598204249,1.328747237241832,15470.504719301223,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,10000,train,79.58230016732524,1.582980523805659,61.27868958984375,1.234395803238048,6335.848327261003,5,10000.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polyBERT,10000,val,125.68711769287586,1.0275488740909604,95.97066422057667,0.5722675952081958,15798.307410631474,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_chemprop,300,test,96.33985916125546,3.22670005067396,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_chemprop,1000,test,75.06914599793618,1.3600793751190663,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_chemprop,3000,test,69.75692602845183,0.45342185817626185,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_chemprop,10000,test,68.38653515963885,0.3276850770606631,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_periodic_graph,300,test,102.52015360692273,3.5964969580703716,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_periodic_graph,1000,test,73.29734571012615,1.2812107178008156,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_periodic_graph,3000,test,69.39455788034249,0.717114402762369,,,,5,2780.0
MD_5000/Cp/alternating_Cp/seed_42,MD_5000,Cp,alternating,polymer_periodic_graph,10000,test,68.1810377246579,0.7314736510955039,,,,5,2780.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,300,test,238.13359500041238,25.14434446359589,167.01690732192384,11.947369739396462,57339.84712632441,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,300,train,85.0339864984322,5.503242798743676,58.20833066468242,2.251911329529293,7261.064541117475,5,300.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,300,val,235.4074343335144,12.80022891797834,165.96783228373138,9.956077505096998,55580.50599984054,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,1000,test,166.1702741578487,14.798816772015522,117.83860101239573,7.096089381224741,27831.56499154628,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,1000,train,64.65656200027732,1.168411025935987,43.836760144198095,0.8466698490815856,4181.836194021234,5,1000.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,RDKit_RF,1000,val,169.42649625751343,6.971225359909729,117.60158044041029,5.913496514761484,28753.93561711586,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,300,test,381.0740302386213,33.8010073095174,280.7910552978516,27.329985402340473,146359.9246174437,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,300,train,74.17859300660297,9.733626217873026,56.17548946126302,6.796155751658627,5597.207139788511,5,300.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,300,val,394.3974997583119,20.40022495081781,293.1626245117187,13.221028258052863,155965.55699365158,5,180.0
MD_5000/Cp/homopolymer_Cp/seed_42,MD_5000,Cp,homopolymer,polyBERT,1000,test,239.26738414809762,10.401613553429279,175.4279278564453,9.489827054592396,57357.07468158818,5,180.0
